fid,Organizati,Address,City,State,Postcode,Main Phone,Discipline,Council Di,Community,Borough,Latitude,Longitude,Census Tra,BIN,BBL,NTA
"212","Capoeira Foundation, Inc.",75 Broad Street,New York,NY,"10004",(212) 382-0555,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.704541,-74.011552,"9","1000849",1000290070,Battery Park City-Lower Manhattan
"213","Career Transition for Dancers, Inc.","165 West 46 Street, Ste. 701",New York,NY,"10036",(212) 764-0172 x222,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.758116,-73.983948,"125","1022661",1009990003,Midtown-Midtown South
"214",Carnegie Hall Corporation,881 Seventh Avenue,New York,NY,"10019",(212) 903-9600,"Multi-Discipline, Performing",Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.764941,-73.980445,"137","1023449",1010090001,Midtown-Midtown South
"215",Carter Burden Center for the Aging,1484 First Avenue,New York,NY,"10075",(212) 879-7400 x303,Crafts,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.771244,-73.953478,"132","1081248",1014720003,Lenox Hill-Roosevelt Island
"216",Cathedral of St. John the Divine,1047 Amsterdam Avenue,New York,NY,"10025",(212) 316-7493,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #9,Manhattan,40.803951,-73.963135,"19701","1082706",1018650001,Morningside Heights
"217",Causa Artium Limited,215 West 104th Street Box 844,New York,NY,"10025",(212) 203-0461,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #7,Manhattan,40.799407,-73.967291,"191","1056587",1018760022,Upper West Side
"218","Cave Canem Foundation, Inc.",20 Jay Street,Brooklyn,NY,"11201",(718) 858-0000,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.704313,-73.986587,"21","3000010",3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"219","Cedar Lake, Inc.",547 West 26th Street,New York,NY,"10001",(212) 244-0015,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750259,-74.004345,"99","1012390",1006980010,Hudson Yards-Chelsea-Flatiron-Union Square
"220","Center at West Park, Inc.",165 West 86th Street,New York,NY,"10024",(212) 997-4490,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.787351,-73.974202,"173","1032188",1012170001,Upper West Side
"221","Center for Architecture, Inc.",536 LaGuardia Place,New York,NY,"10012",(212) 358-6136,Architecture/Design,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.728575,-73.998532,"65","1008642",1005370026,West Village
"222","Center for Arts Education, Inc.","225 West 34th Street, Suite #1112",New York,NY,"10122",(212) 971-3300 x303,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.751483,-73.991764,"109","1014402",1007840019,Midtown-Midtown South
"223","Center for Book Arts, Inc.","28 West 27th Street, Third Floor",New York,NY,"10001",(212) 481-0295,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.744785,-73.989491,"58","1015663",1008280064,Hudson Yards-Chelsea-Flatiron-Union Square
"224","Center for Curatorial Leadership, Inc.",174 East 80th Street,New York,NY,"10075",(646) 405-8065,Visual Arts,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.77528,-73.957562,"140","1047499",1015080142,Upper East Side-Carnegie Hill
"225",Center for Italian Modern Art,421 Broome Street,New York,NY,"10013",(646) 370-3596,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.721252,-73.998662,"45","1079136",1004737505,SoHo-TriBeCa-Civic Center-Little Italy
"226",Center for Jewish History,15 West 16th Street,New York,NY,"10011",(212) 294-6137,Humanities,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.737677,-73.993454,"54","1080631",1008180027,Hudson Yards-Chelsea-Flatiron-Union Square
"227","Center for Performance Research, Inc.","361 Manhattan Avenue, Unit 1",Brooklyn,NY,"11211",(718) 349-1210,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,40.716664,-73.946456,"501","3068283",3027437501,East Williamsburg
"228",Center for Traditional Music and Dance,"32 Broadway, Ste. 1314",New York,NY,"10004",(212) 571-1555 x25,Folk Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.706045,-74.013096,"9","1078979",1000220017,Battery Park City-Lower Manhattan
"229",Center for the Study of Classical Architecture,20 West 44th Street,New York,NY,"10036",(212) 730-9646 x103,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.755156,-73.980848,"96","1034214",1012590048,Midtown-Midtown South
"230","Central Park Brass, Inc.","1435 Lexington Avenue, #7F",New York,NY,"10128",(646) 201-5242,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.784248,-73.952103,"15801","1048403",1015220050,Upper East Side-Carnegie Hill
"231","Chamber Music America, Inc.",12 West 32nd Street,New York,NY,"10001",(212) 242-2022 x15,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.747475,-73.986278,"76","1015826",1008330052,Midtown-Midtown South
"232","Chamber Music Society of Lincoln Center, Inc.","70 Lincoln Center Plaza, Tenth Floor",New York,NY,"10023",(212) 875-5799,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.773626,-73.983591,"149","1077844",1011377501,Lincoln Square
"233",Chamber Orchestra of New York Ottorino Respighi,"450 Lexington Avenue, #1514",New York,NY,"10163",(646) 642-8441,Music,Manhattan Council District #5,Manhattan Community Board #6,Manhattan,40.753102,-73.974854,"92","1085671",1012800090,Turtle Bay-East Midtown
"234","Character Studies Productions, Inc.",202 West 107th Street 6-W,New York,NY,"10025",(212) 665-8279,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.801215,-73.965481,"195","1056641",1018780036,Morningside Heights
"235","Chashama, Inc.","201 East 42nd Street, 32nd Floor",New York,NY,"10017",(212) 391-8151 x23,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #6,Manhattan,40.750714,-73.974295,"88","1037549",1013160001,Turtle Bay-East Midtown
"236",Chassida Shmella:  Ethiopian Jewish Community,"25 Broadway, Ste. 1700",New York,NY,"10004",(212) 284-6532,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.705752,-74.013374,"13","1000045",1000130027,Battery Park City-Lower Manhattan
"237",Chelsea Art Museum,556 West 22nd Street,New York,NY,"10011",(212) 255-0719,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.747733,-74.006374,"99","1012319",1006930064,Hudson Yards-Chelsea-Flatiron-Union Square
"238",Chelsea Film Festival,115 Norfolk Street,New York,NY,"10002",(347) 614-8029,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.719143,-73.986984,"18","1088708",1003537503,Chinatown
"239",Chelsea Symphony,245 Eighth Avenue,New York,NY,"10011",(888) 741-2915,Music,Manhattan Council District #2,Manhattan Community Board #4,Manhattan,40.744901,-73.998784,"93","1013361",1007460038,Hudson Yards-Chelsea-Flatiron-Union Square
"240","Cherry Lane Alternative, Inc.",38 Commerce Street,New York,NY,"10014",(212) 989-2020 x31,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.731451,-74.005203,"67","1009827",1005840027,West Village
"241",Cherry Orchard Festival Foundation,45 Rockefeller Plaza,New York,NY,"10111",(800) 349-0021,"Multi-Discipline, Performing",Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.759204,-73.978335,"104","1083860",1012660001,Midtown-Midtown South
"242","Chhandayan, Inc.",4 West 43rd Street,New York,NY,"10036",(646) 281-4062,Folk Arts,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.754371,-73.980932,"96","1034201",1012580042,Midtown-Midtown South
"243",Chica Luna Productions,"1690 Lexington Avenue, Second Floor",New York,NY,"10029",(212) 410-3544,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.79235,-73.946215,"172","1052019",1016340015,East Harlem South
"244",Children's Aid Society,105 East 22nd Street,New York,NY,"10010",(212) 949-4696,Music,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.739265,-73.986215,"68","1018010",1008780001,Gramercy
"245",Children's Art Carnival,62 Hamilton Terrace,New York,NY,"10031",(212) 234-4093,Visual Arts,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.823075,-73.946309,"227","1060961",1020500064,Hamilton Heights
"246",Children's Museum of Manhattan,212 West 83rd Street,New York,NY,"10024",(212) 721-1223,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.785946,-73.976961,"171","1032767",1012300038,Upper West Side
"247",Children's Museum of the Arts,103 Charlton Street,New York,NY,"10014",(212) 274-0986,Museum,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.7274,-74.008006,"37","1010378",1005980058,SoHo-TriBeCa-Civic Center-Little Italy
"248",Children's Theatre Company of New York,526 West 26th Street,New York,NY,"10001",(212) 633-6629,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.750094,-74.003999,"99","1012386",1006970047,Hudson Yards-Chelsea-Flatiron-Union Square
"249",China Institute in America,100 Washington Street,New York,NY,"10006",(212) 744-8181 x133,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.708494,-74.014291,"13","1088750",1000557501,Battery Park City-Lower Manhattan
"250",Chinatown Partnership Local Development Corp,60 St James Place,New York,NY,"10038",(212) 346-9288,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.712828,-73.998662,"27","1077406",1001170001,Chinatown
"251","Chinese American Arts Council, Inc.","456 Broadway, 3rd Floor",New York,NY,"10013",(212) 431-9740,Other,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.720602,-74.000848,"45","1003033",1002320011,SoHo-TriBeCa-Civic Center-Little Italy
"252",Chinese American Culture & Art Association,"401 Broadway, Ste. 2001",New York,NY,"10013",(212) 750-5295,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.71871,-74.002482,"33","1002310",1001940042,SoHo-TriBeCa-Civic Center-Little Italy
"253",Chinese Methodist Center Corporation,69 Madison st.,New York,NY,"10002",(212) 349-2703,Photography,Manhattan Council District #2,Manhattan Community Board #1,Manhattan,40.712115,-73.996562,"8","1079619",1002770056,Chinatown
"254","Chinese Theatre Works, Inc.","37-18 Northern Boulevard, # 105",Long Island City,NY,"11101",(718) 392-3493,Theater,Queens Council District #21,Queens Community Board #3,Queens,40.752096,-73.925887,"171","4003103",4002140040,Hunters Point-Sunnyside-West Maspeth
"255","Church Street School for Music and Art, Inc.",41 White Street,New York,NY,"10013",(212) 571-7290,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.718664,-74.004452,"33","1001931",1001750019,SoHo-TriBeCa-Civic Center-Little Italy
"256","Cinema Conservancy, Inc.",225 W. 13th Street,"New York, NY",NY,"10011",(212) 989-1038,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.738308,-74.001205,"77","1011120",1006180052,West Village
"257","Cinema Tropical, Inc.","611 Broadway, Ste. 836",New York,NY,"10012",(212) 254-5474,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.725699,-73.996558,"5501","1008240",1005230048,West Village
"258","Circle in the Square Theatre School, Inc.",1633 Broadway,New York,NY,"10019",(212) 307-0388,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.761574,-73.983962,"131","1024812",1010220043,Midtown-Midtown South
"259","Circus Amok, Inc.","53 South 11th Street, #5A",Brooklyn,NY,"11249",(718) 486-7432,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.707584,-73.966824,"547","3392478",3021560124,North Side-South Side
"260","Cities at Peace, Inc.","104 West 27th Street, 12th floor",New York,NY,"10001",(212) 924-9204,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.745628,-73.991479,"95","1015047",1008020049,Midtown-Midtown South
"261","Citizen Schools, Inc.","55 Exchange Place, Sixth Floor",New York,NY,"10005",(646) 442-3873,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.706186,-74.010907,"7","1078988",1000267501,Battery Park City-Lower Manhattan
"262","City Center for Music & Drama, Inc.",20 Lincoln Center,New York,NY,"10023",(212) 870-4285,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #6,Manhattan,40.771414,-73.983201,"149","1028831",1011340005,Lincoln Square
"263",City College Center for the Arts,"CCNY, Office of Gov't, Comm. & Cultural Affairs",New York,NY,"10031",(212) 650-5362,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #9,Manhattan,40.818101,-73.95075,"21703","1000000",1019570105,Manhattanville
"264","City Grand Opera Society, Inc.","250 West 54th Street, Suite 807",New York,NY,"10019",(212) 245-8837,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.764308,-73.983145,"131","1024842",1010250054,Midtown-Midtown South
"265","City Lights Youth Theatre, Inc.","630 Ninth Avenue, Suite 1411",New York,NY,"10036",(212) 262-4104,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.760038,-73.991449,"121","1024982",1010350001,Clinton
"266","City Lore, Inc.",56 East 1st Street,New York,NY,"10003",(212) 529-1955 x301,Folk Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.723631,-73.989281,"3602","1087561",1004430049,East Village
"267",City Parks Foundation,"830 Fifth Avenue, Rm. 27",New York,NY,"10065",(212) 360-1399,"Multi-Discipline, Performing",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,40.767711,-73.970516,"143","1083811",1011110001,park-cemetery-etc-Manhattan
"268","CityArts, Inc.","525 Broadway, Ste. 700",New York,NY,"10012",(212) 966-0377,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.722797,-73.999015,"49","1007248",1004840009,SoHo-TriBeCa-Civic Center-Little Italy
"269","CityKids Foundation, Inc.",57 Leonard Street,New York,NY,"10013",(212) 925-3320 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.717862,-74.006154,"33","1001972",1001770005,SoHo-TriBeCa-Civic Center-Little Italy
"270",Classic Chamber Players,1133 Broadway,New York,NY,"10010",(914) 762-8878,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.743523,-73.989073,"58","1015625",1008270049,Hudson Yards-Chelsea-Flatiron-Union Square
"271","Clemente Soto Velez Cultural and Educational Center, Inc.","107 Suffolk Street, Room 312",New York,NY,"10002",(212) 566-5600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.718943,-73.986122,"1402","1004301",1003530054,Lower East Side
"272","Cliplight Theatre Company, Inc.","555 West 52nd Street, Apt. 806",New York,NY,"10019",(917) 385-9090,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.76671,-73.992697,"135","1088745",1010810070,Clinton
"273",Clive Barnes Foundation Incorporated,"241 West 23rd Street, 4A",New York,NY,"10011",(212) 463-8955,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.744626,-73.996878,"91","1014146",1007730022,Hudson Yards-Chelsea-Flatiron-Union Square
"274","Clubbed Thumb, Inc.","440 Lafayette St, 4th Floor",New York,NY,"10003",(212) 228-0153,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.729327,-73.991907,"57","1088676",1005450026,West Village
"275","Collaborative Arts Project 21, Inc.","18 West 18th Street,  6th Floor",New York,NY,"10011",(212) 807-0202 x14,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan,40.738859,-73.99266,"54","1015426",1008190056,Hudson Yards-Chelsea-Flatiron-Union Square
"276","Collaborative Urban Sculpture, Inc.",62 Washington Ave. #1,Brooklyn,NY,"11205",(917) 418-3516,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.69688,-73.967587,"543","3054139",3018740042,park-cemetery-etc-Brooklyn
"277","College Art Association of America, Inc.","50 Broadway, 21st Fl.",New York,NY,"10004",(212) 691-1051,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.706449,-74.012761,"9","1000813",1000220024,Battery Park City-Lower Manhattan
"278",Colonial Dames of America/Mount Vernon Hotel Museum & Garden,421 East 61st Street,New York,NY,"10065",(212) 838-6878 x28,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.760589,-73.960401,"10602","1045284",1014560012,Lenox Hill-Roosevelt Island
"279",Community Film Workshop Council,525 West 125th Street,New York,NY,"10027",(212) 531-3786,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.813876,-73.956685,"219","1059694",1019820014,Manhattanville
"280","Community Works, Inc.",55 West End Avenue,New York,NY,"10023",(212) 459-1854,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.774058,-73.988681,"151","1087719",1011710063,Lincoln Square
"281","Community-Word Project, Inc.","11 Broadway, Suite 508",New York,NY,"10004",(212) 962-3820,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.705354,-74.013731,"13","1000044",1000130005,Battery Park City-Lower Manhattan
"282","Complicated, Incorporated",1072 Lorimer St. #3l,Brooklyn,NY,"11222",(612) 227-8013,New Media,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,40.727372,-73.953851,"561","3065314",3025960008,Greenpoint
"283","Composers Collaborative, Inc.","210 Riverside Drive, Apt. 11G",New York,NY,"10025",(212) 663-1967,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.79423,-73.976518,"179","1034130",1012520034,Upper West Side
"284","Composers Concordance, Inc.",1510 york ave #2b,New Yrok,NY,"10075",(212) 663-8826,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.771967,-73.950004,"136","1050773",1015760049,Yorkville
"285","Concert Artists Guild, Inc.","153 East 57th Street, 7th Floor",New York,NY,10022-2050,(212) 333-5200 x11,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.760726,-73.968628,"11203","1036911",1013120028,Turtle Bay-East Midtown
"286","Concerts in Motion, Inc.",341 W38th Street,New York,NY,"10018",(212) 498-9868,Music,Manhattan Council District #3,Manhattan Community Board #7,Manhattan,40.755237,-73.992864,"115","1013637",1007620011,Clinton
"287",Concrete Temple Theatre,"211 East 14th Street, Apt. 10",New York,NY,"10003",(212) 598-9135,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.733092,-73.986678,"48","1019503",1008960010,Gramercy
"288","Construction Company Theater/Dance Associates, Inc.","10 East 18th Street, #3",New York,NY,"10003",(212) 924-7882,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.738225,-73.991163,"52","1080748",1008467502,Hudson Yards-Chelsea-Flatiron-Union Square
"289","Contemporary Art for America, Inc.","330 West 15th Street, Suite 5D",New York,NY,"10011",(212) 645-2895,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.740866,-74.003046,"83","1013028",1007380057,Hudson Yards-Chelsea-Flatiron-Union Square
"290",Converging Arts Media Organization,57 Stanton Street,New York,NY,"10002",(212) 995-5290,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.721976,-73.990259,"3601","1077627",1004210060,Chinatown
"291","Cooper-Hewitt, National Design Museum",2 East 91st Street,New York,NY,"10128",(212) 849-8373,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.784607,-73.957866,"15002","1046980",1015020001,Upper East Side-Carnegie Hill
"292","CorbinDances, Inc.",196 West 134th Street,New York,NY,"10030",(646) 734-6338,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,40.814518,-73.943939,"226","1086206",1019180059,Central Harlem North-Polo Grounds
"293","Council For Living Music, Inc.","322 West 48th Street, 3rd Floor",New York,NY,"10036",(212) 245-4802,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.761399,-73.987896,"127","1025108",1010380043,Clinton
"294",Council of Literary Magazines and Presses,"154 Christopher Street, Ste. 3C",New York,NY,"10014",(212) 741-9110 x14,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.73273,-74.008129,"69","1010421",1006040033,West Village
"295",Coyote REP Theatre Company,"360 W 28th St, Apt. 4A",New York,NY,"10001",(917) 584-8796,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.749482,-73.998354,"97","1013462",1007517501,Hudson Yards-Chelsea-Flatiron-Union Square
"296","Create in Chinatown, Inc",150 Elizabeth Street,New York,NY,"10012",(212) 563-0392,,,,Manhattan,40.7203,-73.995083,"41","1088390",1004787501,SoHo-TriBeCa-Civic Center-Little Italy
"297","Creative Alternatives of New York, Inc.",225 West 99th Street,New York,NY,"10025",(212) 222-1969,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,40.796267,-73.969586,"187","1084035",1018710029,Upper West Side
"298","Creative Ammo, Inc.","18 East 41st Street, Suite 1806",New York,NY,"10017",(212) 807-1337 x14,Theater,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,40.752417,-73.980448,"82","1035324",1012750061,Murray Hill-Kips Bay
"299",Creative Arts Team,"101 West 31st Street, 6th Floor",New York,NY,"10001",(212) 652-2830,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.748084,-73.989588,"101","1015182",1008070039,Midtown-Midtown South
"300",Creative Arts Workshops for Kids,520 Eighth Avenue,New York,NY,"10018",(646) 316-1657,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.753612,-73.992417,"109","1083624",1007860001,Midtown-Midtown South
"301",Creative Capital Foundation,65 Bleecker Street,New York,NY,"10012",(212) 598-9900,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.726204,-73.995173,"5502","1008454",1005290072,West Village
"302","Creative Center, Inc.",273 Bowery,New York,NY,"10002",(646) 465-5313,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.723629,-73.992781,"3601","1087241",1004277504,Chinatown
"303","Creative Minds NYC, Inc.","56 Beaver Street, #205",New York,NY,"10004",(212) 742-8091,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,40.705115,-74.010286,"9","1078999",1000297501,Battery Park City-Lower Manhattan
"304","Creative Time, Inc.","59 East 4th Street, #6E",New York,NY,"10003",(212) 206-6674,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.726785,-73.990807,"38","1082642",1004600056,East Village
"305","Cuala Foundation, Inc.",513 East 13 Street #15,New York,NY,"10009",(212) 260-2302,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.729391,-73.98004,"34","1005262",1004070054,East Village
"306",Cuban Artists Fund,41 Union Square West,New York,NY,"10003",(212) 812-4200,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan,40.736976,-73.990452,"52","1016089",1008440026,Hudson Yards-Chelsea-Flatiron-Union Square
"307","Cubraiti, Inc.","1763 Second Avenue, Ste. 17P",New York,NY,"10128",(212) 987-4363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.781598,-73.94904,"154","1048914",1015370022,Yorkville
"308","Cultural Center for Soviet Refugees, Inc.","139 East 33rd Street, Apt. 9M",New York,NY,"10016",(212) 686-0199,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,40.745838,-73.980436,"72","1018492",1008890015,Murray Hill-Kips Bay
"309","Culture For One, Inc.",110 East 42nd Street,New York,NY,"10017",(516) 815-0741,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #5,Manhattan,40.751807,-73.976944,"80","1083181",1012967501,Murray Hill-Kips Bay
"310","Culture Project, Inc.","49 Bleecker Street, Ste. 602",New York,NY,"10012",(212) 925-1806,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.725825,-73.994357,"5502","1008451",1005290062,West Village
"311","Culture Push, Inc.",241 E. 7th Street,New York,NY,"10009",(917) 306-6363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.723836,-73.978253,"2602","1004524",1003770067,Lower East Side
"312","CultureNOW, Inc.","511 West 25th Street, Ste. 707",New York,NY,"10001",(212) 604-0900,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.749364,-74.004132,"99","1012382",1006970023,Hudson Yards-Chelsea-Flatiron-Union Square
"313","Culturehub, Inc.",65 East 4th Street Box 16,New York,NY,"10003",(347) 633-2055,New Media,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,40.726695,-73.990594,"38","1077980",1004600054,East Village
"314","Cunningham Dance Foundation, Inc.",55 Bethune Street,New York,NY,"10014",(212) 255-8240 x17,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,40.736955,-74.008494,"79","1012047",1006390001,West Village
"315","Cygnus Ensemble, Inc.","400 West 43rd Street, Apt. 11G",New York,NY,"10036",(914) 665-2254,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.759302,-73.992636,"121","1083745",1010520001,Clinton
"316","D.U.M.B.O. Arts Center, Inc.","111 Front Street, #212",Brooklyn,NY,"11201",(718) 694-0831,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.70251,-73.988975,"21","3000088",3000380001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"317","DG Falu Foundation, Inc.",333 East 118th Street,New York,NY,"10035",(646) 705-3266,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,40.797936,-73.93592,"188","1054711",1017950017,East Harlem North
"318","DMF Youth, Inc.",320 West 83rd Street Suite 1A,New York,NY,"10024",(714) 612-3440,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.78727,-73.98012,"171","1033808",1012450034,Upper West Side
"319","DOME Project, Inc.",486 Amsterdam Ave,New York,NY,"10023",(212) 724-1780,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,40.786001,-73.976261,"171","1032781",1012310032,Upper West Side
"320",DREAMMAKER DREAMDOER DREAMSUPPORTER,100 Jay Street,Brooklyn,NY,"11201","0",Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.70184,-73.986739,"21","3391186",3000537501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"321","DUMBO District Management Association, Inc.",20 Jay Street #510,Brooklyn,NY,"11201",(718) 237-8700,Architecture/Design,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.704313,-73.986587,"21","3000010",3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"322","Da Capo Chamber Players, Inc.","215 West 90th Street, Ste. 1G",New York,NY,"10024",(212) 873-1065,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,40.790642,-73.974067,"179","1033556",1012387501,Upper West Side
